OriginalText,Location1,Aspect1,Sentiment1,Location2,Aspect2,Sentiment2,MaskedText,LocationsInText,Date,Lemma_Tags,lem_words_masked,lem_tag_masked,lemma_tokens,Lemma_Tags_Orig,lem_words,lem_tag,lemma_tokens_Orig
Hertfordshire is all druggies and tourists,Hertfordshire,safety,0,,,0,locationA is all drugged and tourists,"[('Hertfordshire', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'drug/VB', 'tourist/NN']",locationa be drug tourist,NN VB VB NN,"['locationa', 'be', 'drug', 'tourist']","['hertfordshire/NN', 'be/VB', 'druggy/NN', 'tourist/NN']",hertfordshire be druggy tourist,NN VB NN NN,"['hertfordshire', 'be', 'druggy', 'tourist']"
Cambridgeshire is more expensive London but is good for some of the local schools,Cambridgeshire,price,0,,,0,locationA is more expensive london but is good for some of the local schools,"[('Cambridgeshire', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'more/RB', 'expensive/JJ', 'london/NN', 'be/VB', 'good/JJ', 'local/JJ', 'school/NN']",locationa be more expensive london be good local school,NN VB RB JJ NN VB JJ JJ NN,"['locationa', 'be', 'more', 'expensive', 'london', 'be', 'good', 'local', 'school']","['cambridgeshire/NN', 'be/VB', 'more/RB', 'expensive/JJ', 'london/NN', 'be/VB', 'good/JJ', 'local/JJ', 'school/NN']",cambridgeshire be more expensive london be good local school,NN VB RB JJ NN VB JJ JJ NN,"['cambridgeshire', 'be', 'more', 'expensive', 'london', 'be', 'good', 'local', 'school']"
Merseyside is not dangerous but it is an ugly jumble of concrete with no character,Merseyside,general,0,Merseyside,safety,1,locationA is not dangerous but it is an ugly humble of concrete with no character,"[('Merseyside', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'not/RB', 'dangerous/JJ', 'be/VB', 'ugly/JJ', 'humble/JJ', 'concrete/JJ', 'character/NN']",locationa be not dangerous be ugly humble concrete character,NN VB RB JJ VB JJ JJ JJ NN,"['locationa', 'be', 'not', 'dangerous', 'be', 'ugly', 'humble', 'concrete', 'character']","['merseyside/NN', 'be/VB', 'not/RB', 'dangerous/JJ', 'be/VB', 'ugly/JJ', 'jumble/NN', 'concrete/JJ', 'character/NN']",merseyside be not dangerous be ugly jumble concrete character,NN VB RB JJ VB JJ NN JJ NN,"['merseyside', 'be', 'not', 'dangerous', 'be', 'ugly', 'jumble', 'concrete', 'character']"
Surrey is one of the ruffest places in London,Surrey,safety,0,,,0,locationA is one of the buffet places in london,"[('Surrey', 'GPE'), ('London', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'buffet/NN', 'place/NN', 'london/NN']",locationa be buffet place london,NN VB NN NN NN,"['locationa', 'be', 'buffet', 'place', 'london']","['surrey/NN', 'be/VB', 'ruffest/JJ', 'place/NN', 'london/NN']",surrey be ruffest place london,NN VB JJ NN NN,"['surrey', 'be', 'ruffest', 'place', 'london']"
Shropshire is pretty bad with its stabbings muggings and general filth of the place,Shropshire,general,0,Shropshire,safety,0,locationA is pretty bad with its stabbing musings and general filth of the place,"[('Shropshire', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'pretty/RB', 'bad/JJ', 'stab/VB', 'musing/NN', 'general/JJ', 'filth/NN', 'place/NN']",locationa be pretty bad stab musing general filth place,NN VB RB JJ VB NN JJ NN NN,"['locationa', 'be', 'pretty', 'bad', 'stab', 'musing', 'general', 'filth', 'place']","['shropshire/NN', 'be/VB', 'pretty/RB', 'bad/JJ', 'stabbing/NN', 'mugging/NN', 'general/JJ', 'filth/NN', 'place/NN']",shropshire be pretty bad stabbing mugging general filth place,NN VB RB JJ NN NN JJ NN NN,"['shropshire', 'be', 'pretty', 'bad', 'stabbing', 'mugging', 'general', 'filth', 'place']"
West Yorkshire is not that bad its a vibrant and diverse place which does have crime but so does Warwickshire,West Yorkshire,safety,0,Warwickshire,safety,0,locationA is not that bad its a vibrant and diverse place which does have crime but so does locationB,"[('West Yorkshire', 'GPE'), ('Warwickshire', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'not/RB', 'bad/JJ', 'vibrant/JJ', 'diverse/JJ', 'place/NN', 'do/VB', 'have/VB', 'crime/NN', 'so/RB', 'do/VB', 'locationb/RB']",locationa be not bad vibrant diverse place do have crime so do locationb,NN VB RB JJ JJ JJ NN VB VB NN RB VB RB,"['locationa', 'be', 'not', 'bad', 'vibrant', 'diverse', 'place', 'do', 'have', 'crime', 'so', 'do', 'locationb']","['west/NN', 'yorkshire/NN', 'be/VB', 'not/RB', 'bad/JJ', 'vibrant/JJ', 'diverse/JJ', 'place/NN', 'do/VB', 'have/VB', 'crime/NN', 'so/RB', 'do/VB', 'warwickshire/NN']",west yorkshire be not bad vibrant diverse place do have crime so do warwickshire,NN NN VB RB JJ JJ JJ NN VB VB NN RB VB NN,"['west', 'yorkshire', 'be', 'not', 'bad', 'vibrant', 'diverse', 'place', 'do', 'have', 'crime', 'so', 'do', 'warwickshire']"
Tyne and Wears a hole,Tyne and Wear,general,0,,,0,locationAs a hole,"[('Tyne and Wears', 'GPE')]",2021-07-23,"['locationa/VB', 'hole/NN']",locationa hole,VB NN,"['locationa', 'hole']","['tyne/NN', 'wear/VB', 'hole/NN']",tyne wear hole,NN VB NN,"['tyne', 'wear', 'hole']"
The CornwallWest Sussex area is very expensive probably the most expensive in London,Cornwall,price,0,West Sussex,price,0,the locationAlocationB area is very expensive probably the most expensive in london,"[('CornwallWest Sussex', 'GPE'), ('London', 'GPE')]",2021-07-23,"['area/NN', 'be/VB', 'very/RB', 'expensive/JJ', 'probably/RB', 'most/RB', 'expensive/JJ', 'london/NN']",area be very expensive probably most expensive london,NN VB RB JJ RB RB JJ NN,"['area', 'be', 'very', 'expensive', 'probably', 'most', 'expensive', 'london']","['cornwallwest/NN', 'sussex/NN', 'area/NN', 'be/VB', 'very/RB', 'expensive/JJ', 'probably/RB', 'most/RB', 'expensive/JJ', 'london/NN']",cornwallwest sussex area be very expensive probably most expensive london,NN NN NN VB RB JJ RB RB JJ NN,"['cornwallwest', 'sussex', 'area', 'be', 'very', 'expensive', 'probably', 'most', 'expensive', 'london']"
The Nobility live in townhouses in Bristol,Bristol,price,0,,,0,the nobility live in townhouse in locationA,"[('Bristol', 'GPE')]",2021-07-23,"['nobility/NN', 'live/VB', 'townhouse/NN', 'locationa/NN']",nobility live townhouse locationa,NN VB NN NN,"['nobility', 'live', 'townhouse', 'locationa']","['nobility/NN', 'live/VB', 'townhouse/NN', 'bristol/NN']",nobility live townhouse bristol,NN VB NN NN,"['nobility', 'live', 'townhouse', 'bristol']"
area around West Sussex in very multicultural and it is a very busy area,West Sussex,quiet,0,West Sussex,multicultural,1,area around locationA in very multicultural and it is a very busy area,"[('West Sussex', 'GPE')]",2021-07-23,"['area/NN', 'locationa/NN', 'very/RB', 'multicultural/JJ', 'be/VB', 'very/RB', 'busy/JJ', 'area/NN']",area locationa very multicultural be very busy area,NN NN RB JJ VB RB JJ NN,"['area', 'locationa', 'very', 'multicultural', 'be', 'very', 'busy', 'area']","['area/NN', 'west/NN', 'sussex/NN', 'very/RB', 'multicultural/JJ', 'be/VB', 'very/RB', 'busy/JJ', 'area/NN']",area west sussex very multicultural be very busy area,NN NN NN RB JJ VB RB JJ NN,"['area', 'west', 'sussex', 'very', 'multicultural', 'be', 'very', 'busy', 'area']"
depends how much money you have to spend but avoid most of the Durhambad transport and alot trouble,Durham,safety,0,Durham,transit-location,0,depends how much money you have to spend but avoid most of the locationAbad transport and alot trouble,"[('Durhambad', 'GPE')]",2021-07-23,"['depend/VB', 'much/JJ', 'money/NN', 'have/VB', 'spend/VB', 'avoid/VB', 'most/JJ', 'locationabad/JJ', 'transport/NN', 'alot/JJ', 'trouble/NN']",depend much money have spend avoid most locationabad transport alot trouble,VB JJ NN VB VB VB JJ JJ NN JJ NN,"['depend', 'much', 'money', 'have', 'spend', 'avoid', 'most', 'locationabad', 'transport', 'alot', 'trouble']","['depend/VB', 'much/JJ', 'money/NN', 'have/VB', 'spend/VB', 'avoid/VB', 'most/JJ', 'durhambad/JJ', 'transport/NN', 'alot/JJ', 'trouble/NN']",depend much money have spend avoid most durhambad transport alot trouble,VB JJ NN VB VB VB JJ JJ NN JJ NN,"['depend', 'much', 'money', 'have', 'spend', 'avoid', 'most', 'durhambad', 'transport', 'alot', 'trouble']"
just dont live in Cambridgeshire you will regret it,Cambridgeshire,live,0,,,0,just dont live in locationA you will regret it,"[('Cambridgeshire', 'GPE')]",2021-07-23,"['just/RB', 'dont/VB', 'live/VB', 'locationa/NN', 'regret/VB']",just dont live locationa regret,RB VB VB NN VB,"['just', 'dont', 'live', 'locationa', 'regret']","['just/RB', 'dont/VB', 'live/VB', 'cambridgeshire/NN', 'regret/VB']",just dont live cambridgeshire regret,RB VB VB NN VB,"['just', 'dont', 'live', 'cambridgeshire', 'regret']"
Avoid Wiltshire  its super pricey,Wiltshire,general,0,Wiltshire,price,0,avoid locationA  its super price,"[('Wiltshire', 'GPE')]",2021-07-23,"['avoid/VB', 'locationa/VB', 'super/JJ', 'price/NN']",avoid locationa super price,VB VB JJ NN,"['avoid', 'locationa', 'super', 'price']","['avoid/VB', 'super/JJ', 'pricey/JJ']",avoid super pricey,VB JJ JJ,"['avoid', 'super', 'pricey']"
Avoid Derbyshire  nice place to go out but its a bit rough highest assault rate in London,Derbyshire,general,0,Derbyshire,safety,0,avoid locationA  nice place to go out but its a bit rough highest assault rate in london,"[('Derbyshire', 'GPE')]",2021-07-23,"['avoid/VB', 'locationa/JJ', 'nice/JJ', 'place/NN', 'go/VB', 'out/RB', 'bit/JJ', 'rough/JJ', 'highest/JJ', 'assault/JJ', 'rate/NN', 'london/NN']",avoid locationa nice place go out bit rough highest assault rate london,VB JJ JJ NN VB RB JJ JJ JJ JJ NN NN,"['avoid', 'locationa', 'nice', 'place', 'go', 'out', 'bit', 'rough', 'highest', 'assault', 'rate', 'london']","['avoid/VB', 'derbyshire/JJ', 'nice/JJ', 'place/NN', 'go/VB', 'out/RB', 'bit/JJ', 'rough/JJ', 'highest/JJ', 'assault/JJ', 'rate/NN', 'london/NN']",avoid derbyshire nice place go out bit rough highest assault rate london,VB JJ JJ NN VB RB JJ JJ JJ JJ NN NN,"['avoid', 'derbyshire', 'nice', 'place', 'go', 'out', 'bit', 'rough', 'highest', 'assault', 'rate', 'london']"
However you are unlikely to find anything decent and cheap in Shropshire,Shropshire,price,0,,,0,however you are unlikely to find anything decent and cheap in locationA,"[('Shropshire', 'GPE')]",2021-07-23,"['however/RB', 'be/VB', 'unlikely/JJ', 'find/VB', 'anything/NN', 'decent/JJ', 'cheap/RB', 'locationa/NN']",however be unlikely find anything decent cheap locationa,RB VB JJ VB NN JJ RB NN,"['however', 'be', 'unlikely', 'find', 'anything', 'decent', 'cheap', 'locationa']","['however/RB', 'be/VB', 'unlikely/JJ', 'find/VB', 'anything/NN', 'decent/JJ', 'cheap/RB', 'shropshire/NN']",however be unlikely find anything decent cheap shropshire,RB VB JJ VB NN JJ RB NN,"['however', 'be', 'unlikely', 'find', 'anything', 'decent', 'cheap', 'shropshire']"
I currently live in a very street depressing hood area of Lincolnshire,Lincolnshire,live,0,Lincolnshire,general,0,i currently live in a very street depressing hood area of locationA,"[('Lincolnshire', 'GPE')]",2021-07-23,"['currently/RB', 'live/VB', 'very/RB', 'street/NN', 'depress/VB', 'hood/NN', 'area/NN', 'locationa/NN']",currently live very street depress hood area locationa,RB VB RB NN VB NN NN NN,"['currently', 'live', 'very', 'street', 'depress', 'hood', 'area', 'locationa']","['currently/RB', 'live/VB', 'very/RB', 'street/NN', 'depress/VB', 'hood/NN', 'area/NN', 'lincolnshire/NN']",currently live very street depress hood area lincolnshire,RB VB RB NN VB NN NN NN,"['currently', 'live', 'very', 'street', 'depress', 'hood', 'area', 'lincolnshire']"
I do love Hertfordshire but unfortunately due to the increase in rent I will moving further out,Hertfordshire,price,0,Hertfordshire,general,1,i do love locationA but unfortunately due to the increase in rent i will moving further out,"[('Hertfordshire', 'GPE')]",2021-07-23,"['do/VB', 'love/VB', 'locationa/NN', 'unfortunately/RB', 'due/JJ', 'increase/NN', 'rent/NN', 'move/VB', 'further/RB', 'out/RB']",do love locationa unfortunately due increase rent move further out,VB VB NN RB JJ NN NN VB RB RB,"['do', 'love', 'locationa', 'unfortunately', 'due', 'increase', 'rent', 'move', 'further', 'out']","['do/VB', 'love/VB', 'hertfordshire/NN', 'unfortunately/RB', 'due/JJ', 'increase/NN', 'rent/NN', 'move/VB', 'further/RB', 'out/RB']",do love hertfordshire unfortunately due increase rent move further out,VB VB NN RB JJ NN NN VB RB RB,"['do', 'love', 'hertfordshire', 'unfortunately', 'due', 'increase', 'rent', 'move', 'further', 'out']"
I have heard from some friends that Hertfordshire and places nearby are quite dangerous to live in due to the high criminal cases,Hertfordshire,safety,0,,,0,i have heard from some friends that locationA and places nearby are quite dangerous to live in due to the high criminal cases,"[('Hertfordshire', 'GPE')]",2021-07-23,"['have/VB', 'hear/VB', 'friend/NN', 'locationa/VB', 'place/NN', 'nearby/RB', 'be/VB', 'quite/RB', 'dangerous/JJ', 'live/VB', 'due/JJ', 'high/JJ', 'criminal/JJ', 'case/NN']",have hear friend locationa place nearby be quite dangerous live due high criminal case,VB VB NN VB NN RB VB RB JJ VB JJ JJ JJ NN,"['have', 'hear', 'friend', 'locationa', 'place', 'nearby', 'be', 'quite', 'dangerous', 'live', 'due', 'high', 'criminal', 'case']","['have/VB', 'hear/VB', 'friend/NN', 'hertfordshire/VB', 'place/NN', 'nearby/RB', 'be/VB', 'quite/RB', 'dangerous/JJ', 'live/VB', 'due/JJ', 'high/JJ', 'criminal/JJ', 'case/NN']",have hear friend hertfordshire place nearby be quite dangerous live due high criminal case,VB VB NN VB NN RB VB RB JJ VB JJ JJ JJ NN,"['have', 'hear', 'friend', 'hertfordshire', 'place', 'nearby', 'be', 'quite', 'dangerous', 'live', 'due', 'high', 'criminal', 'case']"
I just know that I definitely do not want to live in Northamptonshire as its the most dangerous,Northamptonshire,safety,0,Northamptonshire,live,0,i just know that i definitely do not want to live in locationA as its the most dangerous,"[('Northamptonshire', 'GPE')]",2021-07-23,"['just/RB', 'know/VB', 'definitely/RB', 'do/VB', 'not/RB', 'want/VB', 'live/VB', 'locationa/NN', 'most/RB', 'dangerous/JJ']",just know definitely do not want live locationa most dangerous,RB VB RB VB RB VB VB NN RB JJ,"['just', 'know', 'definitely', 'do', 'not', 'want', 'live', 'locationa', 'most', 'dangerous']","['just/RB', 'know/VB', 'definitely/RB', 'do/VB', 'not/RB', 'want/VB', 'live/VB', 'most/RB', 'dangerous/JJ']",just know definitely do not want live most dangerous,RB VB RB VB RB VB VB RB JJ,"['just', 'know', 'definitely', 'do', 'not', 'want', 'live', 'most', 'dangerous']"
I know East Sussex well Im afraid I would not choose to live there either,East Sussex,live,0,,,0,i know locationA well i am afraid i would not choose to live there either,"[('East Sussex', 'GPE')]",2021-07-23,"['know/VB', 'locationa/RB', 'well/RB', 'be/VB', 'afraid/JJ', 'not/RB', 'choose/VB', 'live/VB', 'there/RB']",know locationa well be afraid not choose live there,VB RB RB VB JJ RB VB VB RB,"['know', 'locationa', 'well', 'be', 'afraid', 'not', 'choose', 'live', 'there']","['know/VB', 'east/RB', 'sussex/NN', 'well/RB', 'im/VB', 'afraid/JJ', 'not/RB', 'choose/VB', 'live/VB', 'there/RB']",know east sussex well im afraid not choose live there,VB RB NN RB VB JJ RB VB VB RB,"['know', 'east', 'sussex', 'well', 'im', 'afraid', 'not', 'choose', 'live', 'there']"
I live in Warwickshire and cannot even walk across the road to the shop without feeling overly warey,Warwickshire,safety,0,,,0,i live in locationA and cannot even walk across the road to the shop without feeling overly ware,"[('Warwickshire', 'GPE')]",2021-07-23,"['live/VB', 'locationa/NN', 'even/RB', 'walk/VB', 'road/NN', 'shop/NN', 'feel/VB', 'overly/RB', 'ware/NN']",live locationa even walk road shop feel overly ware,VB NN RB VB NN NN VB RB NN,"['live', 'locationa', 'even', 'walk', 'road', 'shop', 'feel', 'overly', 'ware']","['live/VB', 'warwickshire/NN', 'even/RB', 'walk/VB', 'road/NN', 'shop/NN', 'feel/VB', 'overly/RB', 'warey/VB']",live warwickshire even walk road shop feel overly warey,VB NN RB VB NN NN VB RB VB,"['live', 'warwickshire', 'even', 'walk', 'road', 'shop', 'feel', 'overly', 'warey']"
I live in Shropshire which is quite boring,Shropshire,live,0,,,0,i live in locationA which is quite boring,"[('Shropshire', 'GPE')]",2021-07-23,"['live/VB', 'locationa/NN', 'be/VB', 'quite/RB', 'boring/JJ']",live locationa be quite boring,VB NN VB RB JJ,"['live', 'locationa', 'be', 'quite', 'boring']","['live/VB', 'shropshire/NN', 'be/VB', 'quite/RB', 'boring/JJ']",live shropshire be quite boring,VB NN VB RB JJ,"['live', 'shropshire', 'be', 'quite', 'boring']"
I live in Hampshire and I love it Oxfordshire just stay away from Oxfordshire lol,Oxfordshire,general,0,Hampshire,live,1,i live in locationB and i love it locationA just stay away from locationA lol,"[('Hampshire', 'GPE'), ('Oxfordshire', 'GPE'), ('Oxfordshire', 'GPE')]",2021-07-23,"['live/VB', 'locationb/NN', 'love/NN', 'locationa/VB', 'just/RB', 'stay/VB', 'away/RB', 'locationa/NN']",live locationb love locationa just stay away locationa,VB NN NN VB RB VB RB NN,"['live', 'locationb', 'love', 'locationa', 'just', 'stay', 'away', 'locationa']","['live/VB', 'hampshire/NN', 'love/NN', 'oxfordshire/VB', 'just/RB', 'stay/VB', 'away/RB', 'oxfordshire/JJ']",live hampshire love oxfordshire just stay away oxfordshire,VB NN NN VB RB VB RB JJ,"['live', 'hampshire', 'love', 'oxfordshire', 'just', 'stay', 'away', 'oxfordshire']"
I prefer to live in an area where there are more English people like where I live now in Northamptonshire or where there are a variety of different cultures like West Sussex,Northamptonshire,multicultural,0,West Sussex,multicultural,1,i prefer to live in an area where there are more english people like where i live now in locationB or where there are a variety of different cultures like locationA,"[('Northamptonshire', 'GPE'), ('West Sussex', 'GPE')]",2021-07-23,"['prefer/VB', 'live/VB', 'area/NN', 'be/VB', 'more/JJ', 'english/NN', 'person/NN', 'live/VB', 'now/RB', 'locationb/NN', 'be/VB', 'variety/NN', 'different/JJ', 'culture/NN', 'locationa/NN']",prefer live area be more english person live now locationb be variety different culture locationa,VB VB NN VB JJ NN NN VB RB NN VB NN JJ NN NN,"['prefer', 'live', 'area', 'be', 'more', 'english', 'person', 'live', 'now', 'locationb', 'be', 'variety', 'different', 'culture', 'locationa']","['prefer/VB', 'live/VB', 'area/NN', 'be/VB', 'more/JJ', 'english/NN', 'person/NN', 'live/VB', 'now/RB', 'be/VB', 'variety/NN', 'different/JJ', 'culture/NN', 'west/NN', 'sussex/NN']",prefer live area be more english person live now be variety different culture west sussex,VB VB NN VB JJ NN NN VB RB VB NN JJ NN NN NN,"['prefer', 'live', 'area', 'be', 'more', 'english', 'person', 'live', 'now', 'be', 'variety', 'different', 'culture', 'west', 'sussex']"
I sure as hell would not wanna be stuck in a shithole like bloody Somerset,Somerset,general,0,,,0,i sure as hell would not wanna be stuck in a shithole like bloody locationA,"[('Somerset', 'GPE')]",2021-07-23,"['sure/JJ', 'hell/NN', 'not/RB', 'wanna/VB', 'be/VB', 'stick/VB', 'shithole/NN', 'bloody/JJ', 'locationa/NN']",sure hell not wanna be stick shithole bloody locationa,JJ NN RB VB VB VB NN JJ NN,"['sure', 'hell', 'not', 'wan', 'na', 'be', 'stick', 'shithole', 'bloody', 'locationa']","['sure/JJ', 'hell/NN', 'not/RB', 'wanna/VB', 'be/VB', 'stick/VB', 'shithole/NN', 'bloody/JJ', 'somerset/NN']",sure hell not wanna be stick shithole bloody somerset,JJ NN RB VB VB VB NN JJ NN,"['sure', 'hell', 'not', 'wan', 'na', 'be', 'stick', 'shithole', 'bloody', 'somerset']"
